"Wavelength","Global"
"1016.0","7.11E-1"
"1017.0","7.03E-1"
"1018.0","7.14E-1"
"1019.0","6.89E-1"
"1020.0","6.99E-1"
"1021.0","7.02E-1"
"1022.0","6.90E-1"
"1023.0","6.95E-1"
"1024.0","6.91E-1"
"1025.0","6.98E-1"
"1026.0","6.96E-1"
"1027.0","6.93E-1"
"1028.0","6.94E-1"
"1029.0","6.86E-1"
"1030.0","6.91E-1"
"1031.0","6.87E-1"
"1032.0","6.88E-1"
"1033.0","6.76E-1"
"1034.0","6.80E-1"
"1035.0","6.82E-1"
"1036.0","6.82E-1"
"1037.0","6.75E-1"
"1038.0","6.72E-1"
"1039.0","6.76E-1"
"1040.0","6.72E-1"
"1041.0","6.72E-1"
"1042.0","6.72E-1"
"1043.0","6.65E-1"
"1044.0","6.68E-1"
"1045.0","6.65E-1"
"1046.0","6.47E-1"
"1047.0","6.57E-1"
"1048.0","6.63E-1"
"1049.0","6.59E-1"
"1050.0","6.55E-1"
"1051.0","6.55E-1"
"1052.0","6.51E-1"
"1053.0","6.49E-1"
"1054.0","6.46E-1"
"1055.0","6.48E-1"
"1056.0","6.46E-1"
"1057.0","6.45E-1"
"1058.0","6.38E-1"
"1059.0","6.19E-1"
"1060.0","6.36E-1"
"1061.0","6.21E-1"
"1062.0","6.33E-1"
"1063.0","6.22E-1"
"1064.0","6.32E-1"
"1065.0","6.29E-1"
"1066.0","6.17E-1"
"1067.0","6.20E-1"
"1068.0","6.19E-1"
"1069.0","5.86E-1"
"1070.0","6.05E-1"
"1071.0","6.17E-1"
"1072.0","6.15E-1"
"1073.0","6.04E-1"
"1074.0","6.22E-1"
"1075.0","5.93E-1"
"1076.0","6.15E-1"
"1077.0","6.04E-1"
"1078.0","6.03E-1"
"1079.0","6.05E-1"
"1080.0","5.97E-1"
"1081.0","5.81E-1"
"1082.0","5.89E-1"
"1083.0","5.98E-1"
"1084.0","5.79E-1"
"1085.0","5.93E-1"
"1086.0","5.54E-1"
"1087.0","5.67E-1"
"1088.0","5.93E-1"
"1089.0","5.79E-1"
"1090.0","5.56E-1"
"1091.0","5.88E-1"
"1092.0","5.81E-1"
"1093.0","5.11E-1"
"1094.0","5.40E-1"
"1095.0","5.21E-1"
"1096.0","5.03E-1"
"1097.0","5.79E-1"
"1098.0","5.03E-1"
"1099.0","5.08E-1"
"1100.0","4.86E-1"
"1101.0","4.97E-1"
"1102.0","4.69E-1"
"1103.0","4.66E-1"
"1104.0","4.68E-1"
"1105.0","5.06E-1"
"1106.0","3.98E-1"
"1107.0","4.83E-1"
"1108.0","4.16E-1"
"1109.0","4.13E-1"
"1110.0","4.79E-1"
"1111.0","3.32E-1"
"1112.0","4.14E-1"
"1113.0","2.69E-1"
"1114.0","3.00E-1"
"1115.0","2.50E-1"
"1116.0","2.01E-1"
"1117.0","7.96E-2"
"1118.0","2.18E-1"
"1119.0","1.13E-1"
"1120.0","1.42E-1"
"1121.0","1.86E-1"
"1122.0","8.17E-2"
"1123.0","1.28E-1"
"1124.0","1.09E-1"
"1125.0","1.44E-1"
"1126.0","5.16E-2"
"1127.0","1.57E-1"
"1128.0","9.92E-2"
"1129.0","1.06E-1"
"1130.0","7.06E-2"
"1131.0","2.96E-1"
"1132.0","2.34E-1"
"1133.0","1.53E-1"
"1134.0","4.17E-2"
"1135.0","1.55E-2"
"1136.0","1.29E-1"
"1137.0","2.88E-1"
"1138.0","2.03E-1"
"1139.0","2.98E-1"
"1140.0","2.56E-1"
"1141.0","1.93E-1"
"1142.0","2.25E-1"
"1143.0","3.12E-1"
"1144.0","1.13E-1"
"1145.0","1.46E-1"
"1146.0","1.58E-1"
"1147.0","5.92E-2"
"1148.0","2.71E-1"
"1149.0","2.19E-1"
"1150.0","1.22E-1"
"1151.0","2.03E-1"
"1152.0","2.48E-1"
"1153.0","2.38E-1"
"1154.0","1.42E-1"
"1155.0","3.13E-1"
"1156.0","2.81E-1"
"1157.0","3.15E-1"
"1158.0","3.12E-1"
"1159.0","3.37E-1"
"1160.0","2.86E-1"
"1161.0","3.48E-1"
"1162.0","3.50E-1"
"1163.0","4.69E-1"
"1164.0","4.02E-1"
"1165.0","3.89E-1"
"1166.0","3.75E-1"
"1167.0","4.10E-1"
"1168.0","4.20E-1"
"1169.0","4.23E-1"
"1170.0","4.59E-1"
"1171.0","4.48E-1"
"1172.0","4.55E-1"
"1173.0","4.56E-1"
"1174.0","3.37E-1"
"1175.0","4.52E-1"
"1176.0","4.77E-1"
"1177.0","4.72E-1"
"1178.0","3.60E-1"
"1179.0","4.84E-1"
"1180.0","4.41E-1"
"1181.0","4.55E-1"
"1182.0","3.23E-1"
"1183.0","4.39E-1"
"1184.0","4.20E-1"
"1185.0","4.07E-1"
"1186.0","4.77E-1"
"1187.0","4.56E-1"
"1188.0","3.35E-1"
"1189.0","4.16E-1"
"1190.0","4.62E-1"
"1191.0","4.47E-1"
"1192.0","4.73E-1"
"1193.0","4.54E-1"
"1194.0","4.69E-1"
"1195.0","4.47E-1"
"1196.0","4.31E-1"
"1197.0","4.77E-1"
"1198.0","4.34E-1"
"1199.0","3.65E-1"
"1200.0","4.48E-1"
"1201.0","4.37E-1"
"1202.0","4.37E-1"
"1203.0","4.34E-1"
"1204.0","3.62E-1"
"1205.0","4.37E-1"
"1206.0","4.81E-1"
"1207.0","4.30E-1"
"1208.0","4.33E-1"
"1209.0","4.14E-1"
"1210.0","4.53E-1"
"1211.0","4.22E-1"
"1212.0","4.25E-1"
"1213.0","4.70E-1"
"1214.0","4.34E-1"
"1215.0","4.28E-1"
